States,Regions,latitude,longitude,Dates,Usage
Punjab,NR,31.51997398,75.98000281,02-01-2019 00:00,119.9
Haryana,NR,28.45000633,77.01999101,02-01-2019 00:00,130.3
Rajasthan,NR,26.44999921,74.63998124,02-01-2019 00:00,234.1
Delhi,NR,28.6699929,77.23000403,02-01-2019 00:00,85.8
UP,NR,27.59998069,78.05000565,02-01-2019 00:00,313.9
Uttarakhand,NR,30.32040895,78.05000565,02-01-2019 00:00,40.7
HP,NR,31.10002545,77.16659704,02-01-2019 00:00,30
J&K,NR,33.45,76.24,02-01-2019 00:00,52.5
Chandigarh,NR,30.71999697,76.78000565,02-01-2019 00:00,5
Chhattisgarh,WR,22.09042035,82.15998734,02-01-2019 00:00,78.7
Gujarat,WR,22.2587,71.1924,02-01-2019 00:00,319.5
MP,WR,21.30039105,76.13001949,02-01-2019 00:00,253
Maharashtra,WR,19.25023195,73.16017493,02-01-2019 00:00,428.6
Goa,WR,15.491997,73.81800065,02-01-2019 00:00,12.8
DNH,WR,20.26657819,73.0166178,02-01-2019 00:00,18.6
Andhra Pradesh,SR,14.7504291,78.57002559,02-01-2019 00:00,164.6
Telangana,SR,18.1124,79.0193,02-01-2019 00:00,204.2
Karnataka,SR,12.57038129,76.91999711,02-01-2019 00:00,206.3
Kerala,SR,8.900372741,76.56999263,02-01-2019 00:00,72.7
Tamil Nadu,SR,12.92038576,79.15004187,02-01-2019 00:00,268.3
Pondy,SR,11.93499371,79.83000037,02-01-2019 00:00,6.3
Bihar,ER,25.78541445,87.4799727,02-01-2019 00:00,82.3
Jharkhand,ER,23.80039349,86.41998572,02-01-2019 00:00,24.8
Odisha,ER,19.82042971,85.90001746,02-01-2019 00:00,70.2
West Bengal,ER,22.58039044,88.32994665,02-01-2019 00:00,108.2
Sikkim,ER,27.3333303,88.6166475,02-01-2019 00:00,2
Arunachal Pradesh,NER,27.10039878,93.61660071,02-01-2019 00:00,2.1
Assam,NER,26.7499809,94.21666744,02-01-2019 00:00,21.7
Manipur,NER,24.79997072,93.95001705,02-01-2019 00:00,2.7
Meghalaya,NER,25.57049217,91.8800142,02-01-2019 00:00,6.1
Mizoram,NER,23.71039899,92.72001461,02-01-2019 00:00,1.9
Nagaland,NER,25.6669979,94.11657019,02-01-2019 00:00,2.2
Tripura,NER,23.83540428,91.27999914,02-01-2019 00:00,3.4
Punjab,NR,31.51997398,75.98000281,03-01-2019 00:00,121.9
Haryana,NR,28.45000633,77.01999101,03-01-2019 00:00,133.5
Rajasthan,NR,26.44999921,74.63998124,03-01-2019 00:00,240.2
Delhi,NR,28.6699929,77.23000403,03-01-2019 00:00,85.5
UP,NR,27.59998069,78.05000565,03-01-2019 00:00,311.8
Uttarakhand,NR,30.32040895,78.05000565,03-01-2019 00:00,39.3
HP,NR,31.10002545,77.16659704,03-01-2019 00:00,30.1
J&K,NR,33.45,76.24,03-01-2019 00:00,54.1
Chandigarh,NR,30.71999697,76.78000565,03-01-2019 00:00,4.9
Chhattisgarh,WR,22.09042035,82.15998734,03-01-2019 00:00,78.8
Gujarat,WR,22.2587,71.1924,03-01-2019 00:00,316.7
MP,WR,21.30039105,76.13001949,03-01-2019 00:00,253.6
Maharashtra,WR,19.25023195,73.16017493,03-01-2019 00:00,419.6
Goa,WR,15.491997,73.81800065,03-01-2019 00:00,13.7
DNH,WR,20.26657819,73.0166178,03-01-2019 00:00,18.2
Andhra Pradesh,SR,14.7504291,78.57002559,03-01-2019 00:00,170.1
Telangana,SR,18.1124,79.0193,03-01-2019 00:00,204.5
