STATION,DATE,REPORT_TYPE,SOURCE,BackupElements,BackupElevation,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,Sunrise,Sunset,WindEquipmentChangeDate
72518014735,2015-01-01T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",7,25,46,29.97,29.65,21,8.8,0,1.4,40,32,18,190,26,0,0,0,190,20,726,1632,08-09-2006
72518014735,2015-01-02T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",17,32,57,30.18,29.8,26,9.5,0,8.6,33,37,26,250,30,T,0,T,310,23,726,1633,08-09-2006
72518014735,2015-01-03T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",18,27,74,30.46,30.16,23,4.3,0,3.7,38,33,20,170,21,0.57,0,1.6,160,15,726,1634,08-09-2006
72518014735,2015-01-04T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",35,39,86,29.76,29.47,38,10,0,15.9,26,45,33,290,33,0.22,1,0,290,24,726,1635,08-09-2006
72518014735,2015-01-05T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",11,27,59,30.12,29.73,20,16.8,0,4.1,38,41,13,280,42,T,0,T,290,32,726,1636,08-09-2006
72518014735,2015-01-06T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",5,13,68,30.2,29.91,12,5,0,-9.8,52,18,8,300,17,0.05,0,0.5,200,13,726,1637,08-09-2006
72518014735,2015-01-07T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",-1,9,57,30,29.62,9,12.9,0,-13.7,56,21,-3,300,47,T,0,T,310,33,726,1638,08-09-2006
72518014735,2015-01-08T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",-6,7,53,30.26,29.93,5,8.6,0,-15.5,58,20,-6,180,27,T,0,T,170,21,726,1639,08-09-2006
72518014735,2015-01-09T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",8,20,63,29.99,29.64,16,12.4,0,-2.4,45,28,11,170,33,0.05,1,1.5,300,26,725,1640,08-09-2006
72518014735,2015-01-10T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,12,54,30.38,29.99,10,7.5,0,-10.4,53,20,3,290,27,T,1,T,280,21,725,1641,08-09-2006
72518014735,2015-01-11T23:59:00,SOD  ,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",4,18,50,30.53,30.2,16,8,0,-4.3,47,31,5,180,19,0,1,0,180,16,725,1642,08-09-2006
