STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupElements,BackupElevation,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,HDSD,HTDD,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowfall,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,NormalsHeatingDegreeDay,WindEquipmentChangeDate
72518014735,2015-01-31T23:59:00,SOM  ,6,8.9,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,5,3694,1401,10,6,30,0,7,20,-2.9,0,85,-1.7,-4,-0.42,0.79,03-Apr,6,5.6,30.75,13,1112,28.9,19.7,29.32,24,1707,10.5,30.11,29.77,2.17,1316,08-09-2006
72518014735,2015-02-28T23:59:00,SOM  ,6,8.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,5,5154,1460,13,4,28,0,12,26,-13.2,0,367,-11.6,-14.9,-0.05,0.88,02-Feb,17,11.9,30.82,28,1113,23,12.7,29.56,15,151,2.4,30.09,29.75,2.15,1093,08-09-2006
72518014735,2015-03-31T23:59:00,SOM  ,6,9.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,2,6241,1087,10,2,28,0,1,6,-5.2,0,158,-5.4,-5,-1.96,0.78,26-26,13,1.9,30.73,1,151,39,29.8,29.56,17,1251,20.7,30.1,29.76,1.25,929,08-09-2006
72518014735,2015-04-30T23:59:00,SOM  ,6,9.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,0,6757,516,11,8,9,0,0,0,0,-4,-4,0.4,-0.4,-1.07,0.59,20-21,0,0,30.49,16,809,58.7,47.8,29.54,21,451,36.9,29.98,29.66,2.1,520,08-09-2006
72518014735,2015-05-31T23:59:00,SOM  ,6,8.3,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",118,118,0,6858,101,6,4,0,0,0,0,7.3,92,-134,9,5.7,-2.56,0.46,30-31,0,0,30.43,14,900,78.4,65.6,29.71,12,1251,52.8,30.09,29.77,1.05,235,08-09-2006
72518014735,2015-06-30T23:59:00,SOM  ,6,7.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",226,108,0,6913,54,19,11,0,0,0,0,-0.4,-10,2,-1.5,0.7,2.91,1.63,Dec-13,0,0,30.3,4,859,76.4,66.8,29.56,9,1251,57.2,29.96,29.65,6.7,52,08-09-2006
72518014735,2015-07-31T23:59:00,SOM  ,6,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",476,249,0,1,1,8,7,0,3,0,0,1.2,31,-4,1.4,0.9,-0.7,1.27,19-19,0,0,30.17,6,951,83.7,73,29.55,14,1951,62.3,29.9,29.59,3.42,5,08-09-2006
72518014735,2015-08-31T23:59:00,SOM  ,6,5.8,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",726,250,0,1,0,7,6,0,3,0,0,3,73,-18,3.5,2.4,0.84,1.84,11-Nov,0,0,30.22,29,730,83.9,73.1,29.7,11,1351,62.3,29.97,29.66,4.3,18,08-09-2006
72518014735,2015-09-30T23:59:00,SOM  ,6,5.1,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",879,152,0,46,45,10,7,0,3,0,0,6.7,101,-99,7.7,5.6,3.59,3.79,29-30,0,T,30.53,26,935,79.9,68.6,29.64,13,52,57.2,30.08,29.77,6.89,144,08-09-2006
72518014735,2015-10-31T23:59:00,SOM  ,6,6.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",879,0,0,518,472,10,4,7,0,0,0,0.1,-4,-6,0,0.1,-0.48,1.86,28-29,0,T,30.62,27,1040,59.8,49.8,29.46,29,1343,39.7,30.1,29.78,3.2,478,08-09-2006
